Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Costa Rica,CRI,2014,Coverage: Finished Primary School,2.0.cov.FPS,77.2374488322164
Costa Rica,CRI,2012,Coverage: Finished Primary School,2.0.cov.FPS,78.5353698439706
Costa Rica,CRI,2000,Coverage: Finished Primary School,2.0.cov.FPS,71.3396288178705
Costa Rica,CRI,2014,HOI: Finished Primary School,2.0.hoi.FPS,72.9500087348016
Costa Rica,CRI,2012,HOI: Finished Primary School,2.0.hoi.FPS,73.551125994792
Costa Rica,CRI,2000,HOI: Finished Primary School,2.0.hoi.FPS,64.8430328701217
Costa Rica,CRI,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.44
Costa Rica,CRI,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.55
Costa Rica,CRI,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.63
Costa Rica,CRI,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.11
Costa Rica,CRI,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.53
Costa Rica,CRI,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Costa Rica,CRI,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.33
Costa Rica,CRI,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.2
Costa Rica,CRI,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.2
Costa Rica,CRI,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.87
Costa Rica,CRI,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.73
Costa Rica,CRI,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.99
Costa Rica,CRI,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.73
Costa Rica,CRI,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.85
Costa Rica,CRI,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.73
Costa Rica,CRI,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.38
Costa Rica,CRI,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.4
Costa Rica,CRI,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.7
Costa Rica,CRI,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.47
Costa Rica,CRI,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.16
Costa Rica,CRI,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.21
Costa Rica,CRI,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.16
Costa Rica,CRI,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.58
Costa Rica,CRI,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.45
Costa Rica,CRI,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.22
Costa Rica,CRI,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.93
Costa Rica,CRI,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.41
Costa Rica,CRI,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.67
Costa Rica,CRI,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.04
Costa Rica,CRI,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.49
Costa Rica,CRI,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.33
Costa Rica,CRI,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.73
Costa Rica,CRI,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.43
Costa Rica,CRI,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.44
Costa Rica,CRI,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.05
Costa Rica,CRI,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.45
Costa Rica,CRI,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.19
Costa Rica,CRI,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.85
Costa Rica,CRI,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.29
Costa Rica,CRI,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.66
Costa Rica,CRI,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.89
Costa Rica,CRI,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.46
Costa Rica,CRI,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.19
Costa Rica,CRI,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.1
Costa Rica,CRI,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,12.2
Costa Rica,CRI,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.4
Costa Rica,CRI,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.6
Costa Rica,CRI,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.79
Costa Rica,CRI,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.19
Costa Rica,CRI,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.18
Costa Rica,CRI,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.64
Costa Rica,CRI,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.2
Costa Rica,CRI,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.3
Costa Rica,CRI,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,12.6
